,STATION_ID,ANALYTE_NAME,COLLECTION_DATE,RESULT,RESULT_UNITS,UNCERTAINTY
98,9054,Antimony-125,2018-04-09,173.8366159,Bq/m3,
99,10202,Antimony-125,2019-04-09,447.2822257,Bq/m3,
100,10202,Antimony-125,2021-05-10,391.1260495,Bq/m3,
101,9054,Antimony-125,2021-05-11,210.3239613,Bq/m3,
102,9054,Antimony-125,2020-05-12,166.6790099,Bq/m3,
103,10202,Antimony-125,2020-05-12,320.4570621,Bq/m3,
104,10202,Antimony-125,2021-06-10,401.1091197,Bq/m3,
105,9054,Antimony-125,2020-06-02,174.83147,Bq/m3,
106,10202,Antimony-125,2020-06-02,375.5405376,Bq/m3,
107,9054,Antimony-125,2013-06-20,155.66,Bq/m3,
108,10202,Antimony-125,2012-06-06,265.97,Bq/m3,
109,9054,Antimony-125,2021-06-07,182.5254898,Bq/m3,
110,9054,Antimony-125,2014-07-14,160.88,Bq/m3,
111,10202,Antimony-125,2014-07-14,309.46,Bq/m3,
112,10202,Antimony-125,2022-07-18,420.009429,Bq/m3,
113,9054,Antimony-125,2022-07-19,195.8920613,Bq/m3,
114,9054,Antimony-125,2012-07-02,149.78,Bq/m3,
115,10202,Antimony-125,2012-07-02,257.59,Bq/m3,
116,10202,Antimony-125,2013-07-02,288.54,Bq/m3,
117,9054,Antimony-125,2023-07-03,187.6808681,Bq/m3,
118,10202,Antimony-125,2023-07-03,472.7528894,Bq/m3,
119,9054,Antimony-125,2011-07-04,254.52,Bq/m3,
120,9054,Antimony-125,2021-07-06,179.8656315,Bq/m3,
121,10202,Antimony-125,2021-07-06,435.0815377,Bq/m3,
122,10202,Antimony-125,2015-07-07,350.43,Bq/m3,
123,9054,Antimony-125,2020-07-07,169.8075772,Bq/m3,
124,10202,Antimony-125,2020-07-07,380.561133,Bq/m3,
125,10202,Antimony-125,2011-08-01,286.84,Bq/m3,
126,9054,Antimony-125,2013-08-22,242.16,Bq/m3,
127,9054,Antimony-125,2021-08-03,178.4332572,Bq/m3,
128,9054,Antimony-125,2020-08-04,166.0157834,Bq/m3,
129,10202,Antimony-125,2020-08-04,434.1015134,Bq/m3,
130,10202,Antimony-125,2021-09-06,435.0815377,Bq/m3,
131,9054,Antimony-125,2021-09-07,198.2884675,Bq/m3,
132,9054,Antimony-125,2020-09-08,165.788463,Bq/m3,
133,10202,Antimony-125,2020-09-08,454.121019,Bq/m3,
134,9054,Arsenic,2010-02-24,0.51,µg/l,0.01
135,9054,Arsenic,2010-04-16,0.43,µg/l,0.03
136,10202,Arsenic,2010-04-21,0.08,µg/l,0.02
137,9054,Arsenic,2010-05-06,0.71,µg/l,0.01
138,9054,Arsenic,2010-06-03,0.51,µg/l,0.02
139,10202,Barium,2016-01-11,136.0,µg/l,13.6
140,9054,Barium,2015-01-12,119.0,µg/l,11.9
141,10202,Barium,2015-01-12,121.0,µg/l,12.1
142,9054,Barium,2014-01-07,115.0,µg/l,11.5
143,9054,Barium,2013-01-08,127.0,µg/l,12.7
144,10202,Barium,2013-01-08,153.0,µg/l,15.3
145,10202,Barium,2014-01-08,132.0,µg/l,13.2
146,10202,Barium,2014-10-01,137.0,µg/l,13.7
147,10202,Barium,2013-10-10,133.0,µg/l,13.3
148,9054,Barium,2015-10-05,102.0,µg/l,10.2
149,10202,Barium,2015-10-05,131.0,µg/l,13.1
150,9054,Barium,2010-02-24,93.8,µg/l,0.9
151,9054,Barium,2010-04-16,101.0,µg/l,1.3
152,10202,Barium,2014-04-02,138.0,µg/l,13.8
153,10202,Barium,2010-04-21,119.0,µg/l,0.9
154,10202,Barium,2015-04-22,124.0,µg/l,12.4
155,10202,Barium,2013-04-08,143.0,µg/l,14.3
156,9054,Barium,2010-05-06,95.2,µg/l,0.97
157,9054,Barium,2013-06-20,124.0,µg/l,12.4
158,9054,Barium,2010-06-03,95.7,µg/l,0.75
159,9054,Barium,2014-07-14,105.0,µg/l,10.5
160,10202,Barium,2014-07-14,135.0,µg/l,13.5
161,10202,Barium,2013-07-02,133.0,µg/l,13.3
162,10202,Barium,2015-07-07,128.0,µg/l,12.8
163,9054,Barium,2013-08-22,111.0,µg/l,11.1
164,9054,Beryllium-7,2011-01-10,770.74,Bq/m3,
165,9054,Beryllium-7,2012-01-10,468.99,Bq/m3,
166,10202,Beryllium-7,2012-01-10,882.67,Bq/m3,
167,9054,Beryllium-7,2022-01-10,584.8926357,Bq/m3,
168,10202,Beryllium-7,2016-01-11,1081.376348,Bq/m3,
169,9054,Beryllium-7,2021-01-11,549.5703124,Bq/m3,
170,10202,Beryllium-7,2021-01-11,1226.076567,Bq/m3,
171,10202,Beryllium-7,2022-01-11,1457.544638,Bq/m3,
172,9054,Beryllium-7,2015-01-12,584.57,Bq/m3,
173,10202,Beryllium-7,2015-01-12,1161.03,Bq/m3,
174,10202,Beryllium-7,2020-01-15,1267.88596,Bq/m3,
175,9054,Beryllium-7,2020-01-17,502.2161307,Bq/m3,
176,10202,Beryllium-7,2023-01-23,1369.131925,Bq/m3,
177,9054,Beryllium-7,2023-01-24,582.0684983,Bq/m3,
178,9054,Beryllium-7,2014-01-07,602.36,Bq/m3,
179,9054,Beryllium-7,2013-01-08,557.13,Bq/m3,
180,10202,Beryllium-7,2013-01-08,883.91,Bq/m3,
181,10202,Beryllium-7,2014-01-08,862.75,Bq/m3,
182,10202,Beryllium-7,2012-10-01,1149.14,Bq/m3,
183,10202,Beryllium-7,2014-10-01,1023.64,Bq/m3,
184,10202,Beryllium-7,2013-10-10,906.04,Bq/m3,
185,9054,Beryllium-7,2016-10-10,560.5598649,Bq/m3,
186,10202,Beryllium-7,2016-10-10,1045.465265,Bq/m3,
187,10202,Beryllium-7,2017-10-10,1008.169073,Bq/m3,
188,10202,Beryllium-7,2010-10-13,938.78,Bq/m3,
189,9054,Beryllium-7,2010-10-14,745.19,Bq/m3,
190,10202,Beryllium-7,2022-10-17,1389.435062,Bq/m3,
191,10202,Beryllium-7,2021-10-18,1603.087365,Bq/m3,
192,9054,Beryllium-7,2022-10-19,557.6440969,Bq/m3,
193,10202,Beryllium-7,2023-10-02,1381.580182,Bq/m3,
194,9054,Beryllium-7,2019-10-29,520.923917,Bq/m3,
195,10202,Beryllium-7,2011-10-03,1250.87,Bq/m3,
196,9054,Beryllium-7,2023-10-03,595.0902777,Bq/m3,
197,9054,Beryllium-7,2015-10-05,518.94,Bq/m3,
198,10202,Beryllium-7,2015-10-05,950.87,Bq/m3,
199,9054,Beryllium-7,2021-10-05,581.7531842,Bq/m3,
200,9054,Beryllium-7,2020-10-06,502.2002543,Bq/m3,
201,10202,Beryllium-7,2020-10-06,1177.818103,Bq/m3,
202,10202,Beryllium-7,2018-10-09,1104.569904,Bq/m3,
203,9054,Beryllium-7,2021-11-10,736.6428643,Bq/m3,
204,10202,Beryllium-7,2021-11-24,1249.281763,Bq/m3,
205,9054,Beryllium-7,2020-11-03,521.3306212,Bq/m3,
206,10202,Beryllium-7,2020-11-03,1393.966273,Bq/m3,
207,10202,Beryllium-7,2019-11-05,940.1370286,Bq/m3,
208,10202,Beryllium-7,2020-12-01,1421.800043,Bq/m3,
209,9054,Beryllium-7,2018-12-10,534.7391393,Bq/m3,
210,10202,Beryllium-7,2019-12-18,1285.529932,Bq/m3,
211,9054,Beryllium-7,2019-12-19,594.2844223,Bq/m3,
212,9054,Beryllium-7,2020-12-02,593.6015179,Bq/m3,
213,10202,Beryllium-7,2021-12-02,1585.31065,Bq/m3,
214,9054,Beryllium-7,2021-12-06,544.8340365,Bq/m3,
215,10202,Beryllium-7,2011-02-01,642.19,Bq/m3,
216,9054,Beryllium-7,2021-02-01,538.8898441,Bq/m3,
217,10202,Beryllium-7,2021-02-01,1160.393894,Bq/m3,
218,10202,Beryllium-7,2022-02-01,1253.895033,Bq/m3,
219,9054,Beryllium-7,2022-02-02,564.8075857,Bq/m3,
220,9054,Beryllium-7,2020-02-04,521.3485913,Bq/m3,
221,10202,Beryllium-7,2020-02-04,1157.460445,Bq/m3,
222,10202,Beryllium-7,2021-03-01,1466.315155,Bq/m3,
223,9054,Beryllium-7,2021-03-02,624.5888363,Bq/m3,
224,10202,Beryllium-7,2020-03-03,1063.708579,Bq/m3,
225,9054,Beryllium-7,2018-03-07,547.5507268,Bq/m3,
226,10202,Beryllium-7,2018-04-10,1117.210652,Bq/m3,
227,9054,Beryllium-7,2019-04-10,609.7739001,Bq/m3,
228,10202,Beryllium-7,2021-04-12,1302.706352,Bq/m3,
229,9054,Beryllium-7,2021-04-13,521.6475545,Bq/m3,
230,10202,Beryllium-7,2014-04-02,1044.99,Bq/m3,
231,10202,Beryllium-7,2022-04-20,1445.49671,Bq/m3,
232,9054,Beryllium-7,2022-04-21,596.8325307,Bq/m3,
233,10202,Beryllium-7,2015-04-22,988.74,Bq/m3,
234,9054,Beryllium-7,2017-04-03,515.6089848,Bq/m3,
235,9054,Beryllium-7,2023-04-03,576.7392948,Bq/m3,
236,10202,Beryllium-7,2023-04-03,1235.682844,Bq/m3,
237,10202,Beryllium-7,2011-04-04,853.98,Bq/m3,
238,9054,Beryllium-7,2016-04-04,555.9304527,Bq/m3,
239,10202,Beryllium-7,2016-04-04,1149.446781,Bq/m3,
240,10202,Beryllium-7,2017-04-04,1080.567067,Bq/m3,
241,10202,Beryllium-7,2013-04-08,770.23,Bq/m3,
242,9054,Beryllium-7,2020-04-08,530.7022286,Bq/m3,
243,10202,Beryllium-7,2020-04-08,1037.862423,Bq/m3,
244,9054,Beryllium-7,2018-04-09,534.7983332,Bq/m3,
245,10202,Beryllium-7,2019-04-09,1440.410788,Bq/m3,
246,10202,Beryllium-7,2021-05-10,1087.940709,Bq/m3,
247,9054,Beryllium-7,2021-05-11,631.2016417,Bq/m3,
248,9054,Beryllium-7,2020-05-12,525.1555945,Bq/m3,
249,10202,Beryllium-7,2020-05-12,913.4149156,Bq/m3,
250,10202,Beryllium-7,2021-06-10,1138.283529,Bq/m3,
251,9054,Beryllium-7,2020-06-02,536.408498,Bq/m3,
