STATION_ID,ANALYTE_NAME,COLLECTION_DATE,RESULT,RESULT_UNITS,Uncertainty
10202,Antimony-125,6/6/12,265.97,Bq/m3,
9054,Antimony-125,6/7/21,182.5254898,Bq/m3,
9054,Antimony-125,7/14/14,160.88,Bq/m3,
10202,Antimony-125,7/14/14,309.46,Bq/m3,
10202,Antimony-125,7/18/22,420.009429,Bq/m3,
9054,Antimony-125,7/19/22,195.8920613,Bq/m3,
9054,Antimony-125,7/2/12,149.78,Bq/m3,
10202,Antimony-125,7/2/12,257.59,Bq/m3,
10202,Antimony-125,7/2/13,288.54,Bq/m3,
9054,Antimony-125,7/3/23,187.6808681,Bq/m3,
10202,Antimony-125,7/3/23,472.7528894,Bq/m3,
9054,Antimony-125,7/4/11,254.52,Bq/m3,
9054,Antimony-125,7/6/21,179.8656315,Bq/m3,
10202,Antimony-125,7/6/21,435.0815377,Bq/m3,
10202,Antimony-125,7/7/15,350.43,Bq/m3,
9054,Antimony-125,7/7/20,169.8075772,Bq/m3,
10202,Antimony-125,7/7/20,380.561133,Bq/m3,
10202,Antimony-125,8/1/11,286.84,Bq/m3,
9054,Antimony-125,8/22/13,242.16,Bq/m3,
9054,Antimony-125,8/3/21,178.4332572,Bq/m3,
9054,Antimony-125,8/4/20,166.0157834,Bq/m3,
10202,Antimony-125,8/4/20,434.1015134,Bq/m3,
10202,Antimony-125,9/6/21,435.0815377,Bq/m3,
9054,Antimony-125,9/7/21,198.2884675,Bq/m3,
9054,Antimony-125,9/8/20,165.788463,Bq/m3,
10202,Antimony-125,9/8/20,454.121019,Bq/m3,
9054,Arsenic,2/24/10,0.51,µg/l,0.01
9054,Arsenic,4/16/10,0.43,µg/l,0.03
10202,Arsenic,4/21/10,0.08,µg/l,0.02
9054,Arsenic,5/6/10,0.71,µg/l,0.01
9054,Arsenic,6/3/10,0.51,µg/l,0.02
10202,Barium,1/11/16,136.0,µg/l,13.6
9054,Barium,1/12/15,119.0,µg/l,11.9
10202,Barium,1/12/15,121.0,µg/l,12.1
9054,Barium,1/7/14,115.0,µg/l,11.5
